Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,
The effect of environmental factors and physical activity on emotions and attention while walking and jogging,"Han, KT","The purpose of this study was to provide a deeper understanding of what factors help explain the differences between the experiences of walking and jogging in natural and built environments. A total of 116 college students were recruited as participants. Their data on emotions were collected using the Chinese version of the Profile of Mood State (POMS) short form. Their attention was measured by the forward spatial span and the backward digit span tests. Regression results showed that although exercise frequency, crowding (total numbers of people and vehicles), thermal comfort (physiologically equivalent temperature), and air pollution (SO2, NOx, PM10, PM2.5, O-3) did not appear to influence participants' emotions and attention while engaging in one 15-min bout of walking or jogging in a natural or built environment, jogging increased fatigue on the POMS-SF in the participants more strongly than walking did. Engagement with nature may provide insight into human-environmental interactions during physical activity.",2021,,JOURNAL OF LEISURE RESEARCH,52,5,619-641,WOS:000556002900001,10.1080/00222216.2020.1788474,,#1966,Han 2021,
Walking for Well-Being: Are Group Walks in Certain Types of Natural Environments Better for Well-Being than Group Walks in Urban Environments?,"Marselle, MR; Irvine, KN; Warber, SL","The benefits of walking in natural environments for well-being are increasingly understood. However, less well known are the impacts different types of natural environments have on psychological and emotional well-being. This cross-sectional study investigated whether group walks in specific types of natural environments were associated with greater psychological and emotional well-being compared to group walks in urban environments. Individuals who frequently attended a walking group once a week or more (n = 708) were surveyed on mental well-being (Warwick Edinburgh Mental Well-being Scale), depression (Major Depressive Inventory), perceived stress (Perceived Stress Scale) and emotional well-being (Positive and Negative Affect Schedule). Compared to group walks in urban environments, group walks in farmland were significantly associated with less perceived stress and negative affect, and greater mental well-being. Group walks in green corridors were significantly associated with less perceived stress and negative affect. There were no significant differences between the effect of any environment types on depression or positive affect. Outdoor walking group programs could be endorsed through ""green prescriptions"" to improve psychological and emotional well-being, as well as physical activity.",2013,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10,11,5603-5628,WOS:000330520800019,10.3390/ijerph10115603,,#1968,Marselle 2013,
"Biodiverse urban forests, happy people: Experimental evidence linking perceived biodiversity, restoration, and emotional wellbeing","Nghiem, TPL; Wong, KL; Jeevanandam, L; Chang, CC; Tan, LYC; Goh, Y; Carrasco, LR","Here we investigate whether perceived biodiversity is linked to emotional wellbeing, taking into account the individual level of connection to nature, and whether such relationship is mediated by perceived restorativeness. We exposed participants to urban trails of different biodiversity levels and analysed the data using linear mixed effects and structural equation models. Our results show that animal diversity and nature relatedness are positively linked to perceived restorativeness that, in turn, increases positive affect and decreases negative affect; thus suggesting that restoration mediates the effect of biodiversity on emotional wellbeing. We also found walk duration is linked to increased positive affect and reduced negative affect while crowdedness level in the trail has the opposite effect. Our results show an important link between urban biodiversity conservation and public mental health.",2021,,URBAN FORESTRY & URBAN GREENING,59,,,WOS:000632597100002,10.1016/j.ufug.2021.127030,,#1969,Nghiem 2021,
The importance of ecological quality of public green and blue spaces for subjective well-being,"Knight, SJ; McClean, CJ; White, PCL","There is now considerable evidence that the natural environment provides health and well-being benefits in urban environments. However, little is understood about the role of ecological quality in maximising well-being gains. We examine the relationship between the accessibility of public natural spaces of high ecological quality and two measures of subjective well-being for adults, using the British Household Panel Survey (BHPS), a large, longitudinal panel dataset. We then compare this relationship with that found with all Public Open Spaces, regardless of their ecological quality. We use the designation of Sites of Importance for Nature Conservation (SINC) as an objective indication of high-quality green-or bluespace, and life satisfaction and mental distress as measures of well-being. We use the Areas of Deficiency dataset from Greenspace Information for Greater London CIC (GiGL) to identify residential areas with more than a 1 km walk from a SINC, based on actual walking routes from known access points. Postcode-level analysis using regression modelling reveals that living beyond a 1 km walk of a SINC decreases an individual's life satisfaction by 0.117 points on a scale of 1 to 7. No relationship is found for mental distress. We also do not find any significant relationship between either well-being measure and all Public Open Spaces. These findings suggest that the ecological quality of publicly accessible open spaces is important for the well-being of residents in Greater London and highlights the need for improving the provision of high-quality green-and bluespaces in urban areas.",2022,,LANDSCAPE AND URBAN PLANNING,226,,,WOS:000827265400002,10.1016/j.landurbplan.2022.104510,,#1971,Knight 2022,
Objectively-Measured Neighbourhood Attributes as Correlates and Moderators of Quality of Life in Older Adults with Different Living Arrangements: The ALECS Cross-Sectional Study,"Zhang, CJP; Barnett, A; Johnston, JM; Lai, PC; Lee, RSY; Sit, CHP; Cerin, E","With an ageing world population, preservation of older adults' health and quality of life (QoL) is paramount. Due to lower levels of physical functionality, older adults are particularly susceptible to local environment influences, especially those living alone and lacking family support. Using generalised additive mixed models, we examined associations and confounder-adjusted associations between objectively-measured neighbourhood attributes and QoL domains in 909 Hong Kong Chinese elderly community dwellers. Most examined neighbourhood attributes were not associated with QoL in the whole sample. Neighbourhood residential and entertainment density was curvilinearly and/or linearly related to specific QoL domains. Number of parks was negatively associated with social QoL and having well-treed parks with higher levels of social QoL. Older adults living alone in neighbourhoods with poor access to destinations and few activities in parks showed lower environmental and/or social QoL than their counterparts. Neighbourhood built environment characteristics do not seem to impact Hong Kong older adults' physical and psychological QoL. Medium-to-high density, well-ordered neighbourhoods with optimal mixes of well-treed public open spaces and services meeting their daily needs may significantly contribute to social and environmental QoL in this population and appear particularly important to those living alone.",2019,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,16,5,,WOS:000462664200201,10.3390/ijerph16050876,,#1976,Zhang 2019,
The effects of urban park on residents' health: an empirical study based on Tangxi River Park in Hefei,"Wang, ZP; Zhang, CY; Chen, YW; Liu, XF; Guo, JH","As an important way for urban residents to access nature environment, urban park has a certain degree of impact on the health of the population. In this study, Tangxihe Park in Hefei City was used as the research site, and the impact of urban parks on population health was quantitatively studied by analyzing the demographic characteristics, physical and mental health of park users, and park satisfaction. The results show that the quality of overall environment, green space and activity facilities of the park have a positive effect on improving the physical and mental health of the residents, the time of residents spending in the park have a positive effect on their physical and mental health, the longer of the residents spending in the park, the higher of the health benefits they received. Physical health regression analysis showed that residents received better physical health benefits by using the park between 6am to 9am compared to those entering the park between 12pm to 14pm and 14pm to 18pm. Mental health regression analysis showed that residents entering the park between 14pm to 18pm received better mental health benefits than those entering the park between 6am to 9am. The research results verify the specific health effects of urban parks in the context of Chinese demographic and geographic background, and enrich the theoretical content on the health benefits of urban parks in different regional contexts.",2020,,2020 THIRD INTERNATIONAL WORKSHOP ON ENVIRONMENT AND GEOSCIENCE,569,,,WOS:000654254300073,10.1088/1755-1315/569/1/012073,,#1984,Wang 2020,
A room with a green view: the importance of nearby nature for mental health during the COVID-19 pandemic,"Soga, M; Evans, MJ; Tsuchiya, K; Fukano, Y","The COVID-19 pandemic and its global response have resulted in unprecedented and rapid changes to most people's day-to-day lives. To slow the spread of the virus, governments have implemented the practice of physical distancing (""social distancing""), which includes isolation within the home with limited time spent outdoors. During this extraordinary time, nature around the home may play a key role in mitigating against adverse mental health outcomes due to the pandemic and the measures taken to address it. To assess whether this is the case, we conducted an online questionnaire survey (n = 3,000) in Tokyo, Japan, to quantify the association between five mental health outcomes (depression, life satisfaction, subjective happiness, self-esteem, and loneliness) and two measures of nature experiences (frequency of greenspace use and green view through windows from home). Accounting for sociodemographic and lifestyle variables, we found that the frequency of greenspace use and the existence of green window views from within the home was associated with increased levels of self-esteem, life satisfaction, and subjective happiness and decreased levels of depression, anxiety, and loneliness. Our findings suggest that a regular dose of nature can contribute to the improvement of a wide range of mental health outcomes. With the recent escalation in the prevalence of mental health disorders, and the possible negative impacts of the COVID-19 pandemic on public mental health, our findings have major implications for policy, suggesting that urban nature has great potential to be used as a ""nature-based solution"" for improved public health.",2021,,ECOLOGICAL APPLICATIONS,31,2,,WOS:000589903000001,10.1002/eap.2248,,#2001,Soga 2021,
Mental Health Outcomes in Barcelona: The Interplay between Gentrification and Greenspace,"Zayas-Costa, M; Cole, HVS; Anguelovski, I; Connolly, JJT; Bartoll, X; Triguero-Mas, M","Greenspace is widely related to mental health benefits, but this relationship may vary by social group. Gentrification, as linked to processes of unequal urban development and conflict, potentially impacts health outcomes. This study explores the relationships between greenspace and mental health and between gentrification and mental health associations. It also further examines gentrification as an effect modifier in the greenspace-mental health association and SES as an effect modifier in the gentrification-mental health association. We used cross-sectional Barcelona (Spain) data from 2006, which included perceived mental health status and self-reported depression/anxiety from the Barcelona Health Survey. Greenspace exposure was measured as residential access to (1) all greenspace, (2) greenways and (3) parks in 2006. Census-tract level gentrification was measured using an index including changes in sociodemographic indicators between 1991 and 2006. Logistic regression models revealed that only greenways were associated with better mental health outcomes, with no significant relationship between mental health and parks or all greenspace. Living in gentrifying neighborhoods was protective for depression/anxiety compared to living in non-gentrifying neighborhoods. However, only residents of gentrifiable census tracts benefited from the exposure to greenways. SES was not found to be an effect modifier in the association between gentrification and mental health. Future research should tackle this study's limitations by incorporating a direct measure of displacement in the gentrification status indicator, accounting for qualitative aspects of greenspace and user's perceptions. Gentrification may undermine the health benefits provided by greenspace interventions.",2021,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,18,17,,WOS:000694168700001,10.3390/ijerph18179314,,#2005,Zayas-Costa 2021,
"The relationship of green space, depressive symptoms and perceived general health in urban population","Reklaitiene, R; Grazuleviciene, R; Dedele, A; Virviciute, D; Vensloviene, J; Tamosiunas, A; Baceviciene, M; Luksiene, D; Sapranaviciute-Zabazlajeva, L; Radisauskas, R; Bernotiene, G; Bobak, M; Nieuwenhuijsen, MJ","Aims:To assess the relationship between green space proximity, use of green space and depressive symptoms and perceived general health among a random sample men and women. Methods: Cross-sectional study of a population-based sample of 6,944 45-72 year old Kaunas city residents. Self-reported questionnaires provided information on sociodemographic variables, health behaviours, depressive symptoms and poor and very poor perceived general health. Residential proximity to green spaces was defined as living less than 300 m, within interval of 300-999 m, and equal or more than 1 km from a park. The use of the park was divided into two categories: no park use or use <4hrs/week and use of the park 4 h/week. The study received approval from the Kaunas Regional Research Ethics Committee. Multiple logistic regression assessed the associations controlling for confounding variables. Results: The prevalence of depressive symptoms and poor and or very poor perceived general health was higher in women than in men. The association between the use of the park and residential proximity to the park revealed that women living >300 m from a green space and who used the space 4 h/week showed higher odds 1.92 (1.11-3.3) and 1.68 (0.81-3.48) of depressive symptoms and poor and very poor perceived general health as compared to those who used the park <4 hrs/week and residential proximity was >300 m. Conclusions: The results of our study confirmed an association between use of the green space, residential proximity, and depressive symptoms and poor and very poor perceived general health among women only.",2014,,SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,42,7,669-676,WOS:000344066600017,10.1177/1403494814544494,,#2014,Reklaitiene 2014,
Feelings of restoration from recent nature visits,"White, MP; Pahl, S; Ashbullby, K; Herbert, S; Depledge, MH","Exposure to natural environments can help restore depleted emotional and cognitive resources. However, investigation of the relative impacts of different natural environments among large samples is limited. Using data from 4255 respondents drawn from Natural England's Monitoring Engagement with the Natural Environment survey (2009-2011), we investigated feelings of restoration (calm, relaxed, revitalized and refreshed) recalled by individuals after visits to different natural environments within the last week. Controlling for demographic and visit characteristics we found that of the broad environmental categories, coastal visits were associated with the most restoration and town and urban parks with the least. In terms of specific environmental types two ""green space"" locations (woodlands/forests and hills/moorland/mountains) were associated with levels of restoration comparable to coastal locations. Urban playing fields were associated with the least restoration. Restoration was positively associated with visit duration (a potential dose-response effect), and visits with children were associated with less restoration than visits alone. There was little evidence that different activities (e.g. walking, exercising) were associated with differences in restoration. The data may improve our understanding of the ""cultural eco-system services"" provided by different natural environments and help decision makers keen to invest scare resources in those environments most associated with psychological benefits. (c) 2013 Elsevier Ltd. All rights reserved.",2013,,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,35,,40-51,WOS:000323191400005,10.1016/j.jenvp.2013.04.002,,#2019,White 2013,
Is Nature Relatedness Associated with Better Mental and Physical Health?,"Dean, JH; Shanahan, DE; Bush, R; Gaston, KJ; Lin, BB; Barber, E; Franco, L; Fuller, RA","Nature relatedness is a psychological characteristic with the potential to drive interaction with nature and influence well-being. We surveyed 1538 people in Brisbane, Australia to investigate how nature relatedness varies among socio-demographic groups. We determined whether people with higher nature relatedness reported fewer symptoms of depression, anxiety, stress and better overall health, controlling for potentially confounding socio-demographic and health-related variables. Overall nature relatedness was higher in older people, females, those without children living at home, not working, and people speaking English at home. Aspects of nature relatedness reflecting enjoyment of nature were consistently associated with reduced ill health, consistent with widespread evidence of the health and well-being benefits of experiencing nature. In contrast, aspects of nature relatedness reflecting self-identification with nature, and a conservation worldview, were associated with increased depression, anxiety or stress, after accounting for potential confounding factors. Detailed investigation of causal pathways among nature relatedness, socio-demographic factors and health is warranted, with particular focus on the relationship between stress and nature orientation.",2018,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,15,7,,WOS:000445543500077,10.3390/ijerph15071371,,#2025,Dean 2018,
Prenatal greenspace exposure and cord blood cortisol levels: A cross-sectional study in a middle-income country,"Boll, LM; Khamirchi, R; Alonso, L; Llurba, E; Pozo, OJ; Miri, M; Dadvand, P","Exposure to greenspace has been associated with reduced stress; however, the available evidence on such an association for the fetus is still very scarce. We, for the first time, investigated the association between maternal greenspace exposure and the level of cortisol, a stress hormone, in the cord blood. Our study was based on a cohort of 150 pregnant women in Sabzevar, Iran (2018). We comprehensively assessed greenspace exposure for each participant through (i) residential surrounding greenspace (using two satellite-derived vegetation indices), (ii) residential proximity to green spaces, (iii) maternal visual access to greenspace, (iv) use of public and private green spaces, (v) having a private garden, and (vi) the number of plant pots at home. Linear regression models were developed to assess the association of each indicator of greenspace exposure with cord blood cortisol levels, controlled for the relevant covariates. We observed that a higher residential surrounding greenspace (100 m buffer), having a window with greenspace view, window greenspace coverage of more than 50%, frequently looking at greenspace through window, residential proximity to large green spaces, and more time spent in green spaces were associated with lower cortisol levels in the cord blood. The findings for residential surrounding greenspace at 300 m and 500 m buffers, residential proximity to any green space regardless of its size, having a private garden, and number of plant pots at home were not conclusive. While about one-third of the association between residential surrounding greenspace (100 m buffer) could be mediated through reduction in exposure to air pollution, we did not observe any strong evidence for such a mediatory role for the visual access to greenspace. The findings stratified for parental education and housing type showed mixed patterns. Our findings suggest that more greenspace exposure might reduce cortisol level in the cord blood.",2020,,ENVIRONMENT INTERNATIONAL,144,,,WOS:000580630100055,10.1016/j.envint.2020.106047,,#2028,Boll 2020,
SPIRITUAL CARE OF CANCER PATIENTS BY INTEGRATED MEDICINE IN URBAN GREEN SPACE: A PILOT STUDY,"Nakau, M; Imanishi, J; Watanabe, S; Imanishi, A; Baba, T; Hirai, K; Ito, T; Chiba, W; Morimoto, Y","Background: Psycho-oncological care, including spiritual care, is essential for cancer patients. Integrated medicine, a therapy combining modern western medicine with various kinds of complementary and alternative medicine, can be appropriate for the spiritual care of cancer because of the multidimensional characteristics of the spirituality. In particular, therapies that enable patients to establish a deeper contact with nature, inspire feelings of life and growth of plants, and involve meditation may be useful for spiritual care as well as related aspects such as emotion. The purpose of the present study was to examine the effect of spiritual care of cancer patients by integrated medicine in a green environment.Methods: The present study involved 22 cancer patients. Integrated medicine consisted of forest therapy, horticultural therapy, yoga meditation, and support group therapy, and sessions were conducted once a week for 12 weeks. The spirituality (the Functional Assessment of Chronic Illness Therapy-Spiritual well-being), quality of life (Short Form-36 Health Survey Questionnaire), fatigue (Cancer Fatigue Scale), psychological state (Profile of Mood States, short form, and State-Trait Anxiety Inventory) and natural killer cell activity were assessed before and after intervention.Results: In Functional Assessment of Chronic Illness Therapy-Spiritual well-being, there were significant differences in functional well-being and spiritual well-being pre- and postintervention. This program improved quality of life and reduced cancer-associated fatigue. Furthermore, some aspects of psychological state were improved and natural killer cell activity was increased.Conclusions: It is indicated that integrated medicine performed in a green environment is potentially useful for the emotional and spiritual well-being of cancer patients.",2013,,EXPLORE-THE JOURNAL OF SCIENCE AND HEALING,9,2,87-90,WOS:000316511500005,10.1016/j.explore.2012.12.002,,#2029,Nakau 2013,
The Influence of Urban Natural and Built Environments on Physiological and Psychological Measures of Stress-A Pilot Study,"Beil, K; Hanes, D","Environments shape health and well-being, yet little research has investigated how different real-world environmental settings influence the well-known determinant of health known as stress. Using a cross-over experimental design; this pilot study investigated the effect of four urban environments on physiological and psychological stress measures. Participants (N = 15) were exposed on separate days to one of the four settings for 20 min. These settings were designated as Very Natural; Mostly Natural; Mostly Built and Very Built. Visitation order to the four settings was individually randomized. Salivary cortisol and alpha-amylase; as well as self-report measures of stress; were collected before and after exposure to each setting. Gender was included as a variable in analysis; and additional data about environmental self-identity, pre-existing stress, and perceived restorativeness of settings were collected as measures of covariance. Differences between environmental settings showed greater benefit from exposure to natural settings relative to built settings; as measured by pre-to-post changes in salivary amylase and self-reported stress; differences were more significant for females than for males. Inclusion of covariates in a regression analysis demonstrated significant predictive value of perceived restorativeness on these stress measures, suggesting some potential level of mediation. These data suggest that exposure to natural environments may warrant further investigation as a health promotion method for reducing stress.",2013,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10,4,1250-1267,WOS:000318032300006,10.3390/ijerph10041250,,#2030,Beil 2013,
"The Effects of Green and Urban Walking in Different Time Frames on Physio-Psychological Responses of Middle-Aged and Older People in Chengdu, China","Li, HS; Liu, HW; Yang, ZQ; Bi, SL; Cao, Y; Zhang, GD","Nighttime walking is becoming a popular exercise for many middle-aged and older people in Asian countries. However, the health benefits of nighttime walking in urban areas and green spaces are still unclear. This study evaluated the physiological and psychological responses of 48 middle-aged and older people who walked 1.6 km through a green space and an urban area during daytime and nighttime. The Positive and Negative Affect Schedule (PANAS), Profile of Mood States (POMS), Perceived Restorativeness Scale (PRS), and Restorative Outcome Scale (ROS) were employed to measure the psychological responses, and pulse rate and blood pressure (SBP, DBP and MAP) were measured to evaluate the physiological responses. The results showed that the daytime green walking induced psychological improvements and lowered blood pressure (p < 0.05), while the daytime urban walking resulted in slight deterioration of all the measured parameters (p > 0.05). On the other hand, the nighttime green walking induced lowered blood pressure (p < 0.05), whilst the nighttime urban walking resulted in psychological improvements and lowered blood pressure (p < 0.05), and no significant difference was found in any measured parameter between the two nighttime walking groups. In conclusion, urban areas are noisy and irritating in the daytime, and not suitable for walking, but may become pleasurable and attractive at night. The psychological benefits of green walking may decrease at night, and nighttime walking in either an urban area or a green space may achieve similar health benefits. Therefore, we recommend that urban citizens start nighttime walking in a green space or an urban area to keep fit when the air is less polluted.",2021,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,18,1,,WOS:000606056000001,10.3390/ijerph18010090,,#2037,Li 2021,
Proximity to Urban Parks and Mental Health,"Sturm, R; Cohen, D","Background: Urban parks have received attention in recent years as a possible environmental factor that could encourage physical activity, prevent obesity, and reduce the incidence of chronic conditions. Despite long hypothesized benefits of parks for mental health, few park studies incorporate mental health measures.Aims of the Study: To test the association between proximity to urban parks and psychological distress.Methods: Cross-sectional analysis of individual health survey responses. Data were collected for a study of capital improvements of neighborhood parks in Los Angeles. A survey was fielded on a sample of residential addresses, stratified by distance from the park (within 400m, 800m, 1.6 km, and 3.2km; N=1070). We used multiple regression to estimate the relationship between the psychological distress as measured by the MHI-5 (outcome variable) and distance to parks (main explanatory variable), controlling for observed individual characteristics.Results: Mental health is significantly related to residential distance from parks, with the highest MHI-5 scores among residents within short walking distance from the park (400m) and decreasing significantly over the next distances. The number of visits and physical activity minutes are significantly and independently related to distance, although controlling for them does not reduce the association between distance and mental health.Discussion and Limitations: This paper provides a new data point for an arguably very old question, but for which empirical data are sparse for the US. A nearby urban park is associated with the same mental health benefits as decreasing local unemployment rates by 2 percentage points, suggesting at least the potential of environmental interventions to improve mental health. The analysis is cross-sectional, making it impossible to control for important confounders, including residential selection.Implications for Health Policy: Mental health policy has traditionally focused on individual-centered interventions. Just as health policy for preventable chronic illnesses has shifted attention to modifiable environmental determinants, population mental health may benefit substantially from environmental interventions.Implications for Future Research: Policy evaluations should incorporate mental health measures when assessing neighborhood improvement programs and physical environments. Many recent and ongoing studies have excluded mental health measure in the belief that they are too burdensome for respondents or irrelevant. If a causal relationship is confirmed, then ameliorating neighborhood conditions and physical environments could represent a scalable way to improve mental health issues for large populations.",2014,,JOURNAL OF MENTAL HEALTH POLICY AND ECONOMICS,17,1,19-24,WOS:000333140000004,,,#2039,Sturm 2014,
Health Benefits from Nature Experiences Depend on Dose,"Shanahan, DF; Bush, R; Gaston, KJ; Lin, BB; Dean, J; Barber, E; Fuller, RA","Nature within cities will have a central role in helping address key global public health challenges associated with urbanization. However, there is almost no guidance on how much or how frequently people need to engage with nature, and what types or characteristics of nature need to be incorporated in cities for the best health outcomes. Here we use a nature dose framework to examine the associations between the duration, frequency and intensity of exposure to nature and health in an urban population. We show that people who made long visits to green spaces had lower rates of depression and high blood pressure, and those who visited more frequently had greater social cohesion. Higher levels of physical activity were linked to both duration and frequency of green space visits. A dose-response analysis for depression and high blood pressure suggest that visits to outdoor green spaces of 30 minutes or more during the course of a week could reduce the population prevalence of these illnesses by up to 7% and 9% respectively. Given that the societal costs of depression alone in Australia are estimated at AUD$12.6 billion per annum, savings to public health budgets across all health outcomes could be immense.",2016,,SCIENTIFIC REPORTS,6,,,WOS:000378325500001,10.1038/srep28551,,#2040,Shanahan 2016,
Exercise in the Park or Gym? The Physiological and Mental Responses of Obese People Walking in Different Settings at Different Speeds: A Parallel Group Randomized Trial,"Wang, XX; Zhou, QF; Zhang, MJ; Zhang, QH","Evidence shows that physical activity has multiple health benefits for the body and mind of oneself, but little is known about the impacts of the setting and the intensity on exercise experience, especially for obese people. This study investigated the physiological and psychological effects of four walking conditions with different settings (park vs. gym) and intensity (slow vs. fast) on young obese adults. Subjects were 18-21 years old Chinese university students (N = 77), who were diagnosed as obese. They were randomly assigned to participate in one of the four activities in the field: slow walk in the park (2.8 km/h), fast walk in the park (5.5 km/h), slow walk in the gym, and fast walk in the gym. Physiological indices, including blood pressure and heart rate, were measured before and after the walk. Psychological responses were measured by the Symbol Digit Modalities Test, the mood states scale, and the semantic differential scale. This study of obese people aged 18-21 years confirmed the previous findings that exercising in natural environments better relieved stress and restored attentional level than indoor activities. The results suggested that the mood states of the participants and their environmental perceptions may be influenced by the walking conditions with different setting and speed. The findings can be used in planning and designing urban green spaces for promoting physical activity and making exercise plans for obese people.",2021,,FRONTIERS IN PSYCHOLOGY,12,,,WOS:000716470600001,10.3389/fpsyg.2021.728826,,#2052,Wang 2021,
Comparison of place attachment influence on the level of happiness of people living near residential parks,"IOP; Nurhakim, I; Kurniawan, EB; Wardhani, DK","Several studies have shown that living close to a park is associated with high levels of happiness. However, there is a possible difference in the level of happiness between living close to a park (0-400 meters radius) compared to living far from the park (400-1.000 meters radius). Therefore, this study aims to compare the influence of Place Attachment on the level of happiness for people living near a park, especially residential parks in some housing areas in Malang City. Place Attachment in this study defined as a bond between an individual and a particular setting. The study demonstrates a positive influence of Place Attachment on the level of happiness of people living near the park. Respondents who live close to a park (R = 0.441; Happiness Level = 97.8%; Average Happiness = 6.833) tend to have a higher level of happiness compared to respondents who live far from a park (R = 0.326; Happiness Level = 69.9%; average Happiness = 4.148). This result shows the urgency to reconsider the provision standard of residential parks in Indonesia which only suggests one residential park for every 1,000 meters radius.",2018,,1ST ITB CENTENNIAL AND 4TH PLANOCOSMO INTERNATIONAL CONFERENCE,158,,,WOS:000446888700007,10.1088/1755-1315/158/1/012007,,#2068,IOP 2018,
Are public open space attributes associated with walking and depression?,"Koohsari, MJ; Badland, H; Mavoa, S; Villanueva, K; Francis, J; Hooper, P; Owen, N; Giles-Corti, B","Public open spaces (POS) are key neighbourhood destinations shown to confer numerous physical and mental health benefits. The amount and spatial distribution of POS throughout cities are guided by urban planning policies and standards. However, empirical evidence is not generally used to create POS standards. Developing and testing POS indices associated with positive health outcomes, can inform evidence-based POS urban design and planning standards that support the creation of healthier cities. This study examined associations of urban design policy-derived and empirical measures of POS proximity and density with walking and depression. The 2011-12 Australian Diabetes, Obesity and Lifestyle study (AusDiab) wave data were used. Adults living in metropolitan Melbourne, Australia were included (n = 319). Participants reported walking for recreation and any walking within their neighbourhood during the last week. Depression was calculated using the Center for Epidemiologic Studies Short Depression Scale (CESD-10). Informed by Australian urban design policies and empirical evidence, various POS measures were calculated at different street network distances around residential addresses using geographic information systems software. Measures tested included: distance to nearest POS, size of nearest POS, total number of POS, and area of POS at scales of 400, 800, 1000, and 1600 m. Associations of these POS measures with walking and depression were examined using adjusted multilevel logistic regression models. Overall 68% and 77% of participants reported walking for recreation and any walking in the past week, respectively; and about 13% were categorized as depressed. Living within 400 m of POS was not associated with either type of walking, but those whose nearest POS was > 1.5 ha had 1.90 and 2.66 times greater odds of walking for recreation and any walking during the last week, respectively. In Melbourne, the urban design policy standard is that POS be available within 400 m of homes. In our study, this standard was not associated with walking or depression; however having a larger POS nearby supported residents' walking. This study highlights the importance of assessing such standards for their potential health impact, and warrants further investigation.",2018,,CITIES,74,,119-125,WOS:000425561800012,10.1016/j.cities.2017.11.011,,#2076,Koohsari 2018,
Association of urban built environment and socioeconomic factors with suicide mortality in high-density cities: A case study of Hong Kong,"Wang, P; Goggins, WB; Zhang, XY; Ren, C; Lau, KKL","Population ageing, climate change and urbanization have been occurring rapidly globally. Evidence-based healthy city development is required to improve living quality and mitigate the adverse impact of city living on both physical and mental health. We took a high-density city as an example to explore the association of built environment and suicide mortality and preferably to offer some implications for better future city development. Poisson generalized linear models with generalized estimation equations were employed to regress suicide mortality rate on four urban built environment variables (frontal area density (FAD), sky view factor (SVF), ground coverage ratio (GCR), and street coverage ratio (SCR)), as well as socioeconomic factors, population density, and greenery. The association for different causes of death and within different subgroups was also investigated. Generally, higher FAD and GCR were associated with higher suicide mortality while higher SVF and SCR were associated with lower suicide mortality. Age was a significant effect modifier. An interquartile range increase in FAD, SVF, and GCR was associated with 0.81 (95% confidence interval (CI) 0.71-0.92), 1.41 (95% CI 1.04-1.91), and 0.70 (95% CI 0.50-0.98) times the risk of suicide among the people aged over 70, respectively. Higher population density and unmarried status were generally associated with higher suicide rate whereas higher education level was associated with a decreased risk. Unfavorable built environment could increase risks for successful suicide attempts. Better urban development with morphological control mitigating intensifying urban heat island and other micro-environment changes are warranted to promote not only physical but psychological health. (C) 2020 Elsevier B.V. All rights reserved.",2020,,SCIENCE OF THE TOTAL ENVIRONMENT,739,,,WOS:000561798600013,10.1016/j.scitotenv.2020.139877,,#2084,Wang 2020,
